abstemio|abs-te-mio|Que no bebe vino ni licores alcohólicos;;;
abstracto|abs-trac-to|Lo contrario de concreto;;;
abstracto|abs-trac-to|Lo contrario de ¨concreto¨;;;
abstraer|abs-tra-er|Aislar mentalmente o considerar por separado las cualidades o una cualidad de un objeto;;;
abstraer|abs-tra-er|Aislar mentalmente o considerar por separado las cualidades o una cualidad de un objeto;;;
absuelto|ab-suel-to|Perdonado, liberado;;;
absurdo|ab-sur-do|Contrario a la razón;;;
abubilla|a-bu-bi-lla|Ave coraciforme insectívora, del tamaño de una tórtola, con el pico largo y delgado y un penacho de plumas eréctiles en la cabeza;;;
abuchear|a-bu-che-ar|Manifestar ruidosamente el público su desagrado;;;
abuchear|a-bu-che-ar|Manifestar ruidosamente el público su desagrado o protesta;;;
abucheo|a-bu-che-o|Acción de manifestar ruidosamente el público su desagrado o protesta;;;
abuelita|a-bue-li-ta|Diminutivo de abuela;;;
abuelo|a-bue-lo|Progenitor del padre o de la madre;;;
abulense|a-bu-len-se|De Ávila;;;
abulenses|a-bu-len-ses|Originarios de Ávila;;;
abulia|a-bu-lia|Falta de voluntad;;;
abulico|a-bu-li-co|Que adolece de falta de la voluntad;;;
abúlico|a-bú-li-co|Que adolece de falta de la voluntad;;;
abulomano|a-bu-lo-ma-no|Que padece abulomanía o indecisión de carácter;;;
abulómano|a-bu-ló-ma-no|Que padece abulomanía o indecisión de carácter;;;
abultado|a-bul-ta-do|Grueso, grande, de mucho bulto;;;
abundante|a-bun-dan-te|Copioso, en gran cantidad;;;
abundar|a-bun-dar|Haber gran cantidad de una cosa;;;
abundoso|a-bun-do-so|Copioso, abundante;;;
abur|a-bur|Fam. Interjección ¡Adiós!;;;
aburrado|a-bu-rra-do|Persona  de modales toscos y groseros;;;
aburrido|a-bu-rri-do|Falto de estímulos, diversiones o distracciones;;;
aburrir|a-bu-rrir|Molestar, cansar, fastidiar;;;
abusaba|a-bu-sa-ba|Trataba de manera deshonesta a una persona de menor experiencia, fuerza, etc.;;;
abusador|a-bu-sa-dor|Propenso al abuso;;;
abusar|a-bu-sar|Hacer objeto de trato deshonesto a una persona de menor experiencia, fuerza, etc.;;;
abusivo|a-bu-si-vo|Que se introduce o practica por abuso;;;
abusona|a-bu-so-na|Mujer que abusa;;;
abusos|a-bu-sos|Excesos, extralimitaciones;;;
abyección|ab-yec-ción|Bajeza, envilecimiento;;;
abyecto|ab-yec-to|Despreciable, vil;;;
acabado|a-ca-ba-do|Último retoque que se da a una obra;;;
acabijo|a-ca-bi-jo|Fam. Término, remate;;;
acabildar|a-ca-bil-dar|Juntar a varias personas para algún intento;;;
acabose|a-ca-bo-se|(Ser una cosa el ~) Haber llegado a su último extremo;;;
acacia|a-ca-cia|Planta papilionácea con flores en racimos colgantes. De algunas de sus especies se obtiene la goma arábiga;;;
acacoyol|a-ca-co-yol|Méx. Planta gramínea con cuya semilla se hacen rosarios;;;
academia|a-ca-de-mia|Establecimiento docente de carácter privado;;;
académico|a-ca-dé-mi-co|Relativo a la academia;;;
