brocheta|bro-che-ta|Varilla en la que se ensartan alimentos para asarlos;;;
brochón|bro-chón|Escobilla de cerda para blanquear las paredes;;;
brodequín|bro-de-quín|Galicismo por borceguí;;;
brómico|bró-mi-co|Relativo al bromo;;;
bromista|bro-mis-ta|Aficionado a hacer bromas;;;
bronca|bron-caAmer. Enojo, enfado, rabia;;;
bronceado|bron-ce-a-do|Que tiene la piel morena por la acción del sol;;;
broncear|bron-ce-ar|Tomar color moreno la piel por la acción del sol;;;
broncería|bron-ce-rí-a|Conjunto de piezas de bronce;;;
broncíneo|bron-cí-ne-o|De bronce o parecido a él;;;
broncista|bron-cis-ta|Persona que tiene por oficio trabajar en bronce;;;
bronco|bron-co|Voz o instrumento de música de sonido desagradable y áspero;;;
bronquera|bron-que-ra|Bronquedad, calidad de bronco;;;
bronquial|bron-quial|Relativo a los bronquios;;;
bronquio|bron-quio|Estructura tubular que conduce el aire desde la tráquea a los alvéolos pulmonares;;;
broquel|bro-quel|Escudo pequeño de madera o corcho;;;
brujería|bru-je-rí-a|Cosa realizada con un poder sobrenatural maligno;;;
brujería|bru-je-rí-aCosa realizada con un poder sobrenatural maligno;;;
brújula|brú-ju-la|Caja con una aguja imanada en su centro cuyos extremos se orientan hacia los polos magnéticos de la tierra;;;
brujulear|bru-ju-le-ar|En el juego de naipes, descubrir poco a poco las cartas para conocer por las rayas o pintas de qué palo son;;;
brulote|bru-lo-te|Barco cargado de materias inflamables para incendiar los buques enemigos;;;
bruma|bru-ma|Niebla, especialmente la que se forma sobre el mar;;;
brumario|bru-ma-rio|Segundo mes del año según el calendario republicano francés;;;
brumazón|bru-ma-zón|Niebla espesa y grande;;;
bruñidora|bru-ñi-do-ra|Instrumento para sacar lustre a un metal, piedra, etc.;;;
bruñir|bru-ñir|Sacar lustre a un metal, piedra, etc.;;;
brusco|brus-co|Súbito, repentino;;;
bruselas|bru-se-las|Capital y principal ciudad de Bélgica;;;
Bruselas|bru-se-las|Capital y principal ciudad de Bélgica;;;
bubónica|bu-bó-ni-ca|Peste que se manifiesta con bubones;;;
bucanero|bu-ca-ne-ro|Corsario y filibustero que en los siglos XVII y XVIII saqueaba los dominios españoles de ultramar;;;
bucarest|bu-ca-rest|Capital y principal ciudad de Rumania;;;
Bucarest|bu-ca-rest|Capital y principal ciudad de Rumania;;;
bucear|bu-ce-ar|Nadar debajo del agua;;;
bucéfalo|bu-cé-fa-lo|Nombre del caballo de Alejandro Magno;;;
Bucéfalo|bu-cé-fa-lo|Nombre del caballo de Alejandro Magno;;;
buche|bu-che|Bolsa membranosa que forma parte del sistema digestivo en algunos animales, donde acumula alimento para digerirlo lentamente;;;
bucles|bu-cles|Rizos de cabello en forma helicoidal;;;
bucólica|bu-có-li-ca|Género de poesía en que el autor expone asuntos pastoriles o campestres;;;
budapest|bu-da-pest|Capital y ciudad más importante de Hungría;;;
Budapest|bu-da-pest|Capital y ciudad más importante de Hungría;;;
budinera|bu-di-ne-ra|Cazuela en que se hace el budín;;;
budismo|bu-dis-mo|Religión fundamentada por Buda en el siglo VI a. C. y muy extendida por el Asia central y oriental;;;
buenísimo|bue-ní-si-mo|Muy bueno;;;
buenos|bue-nos|Aptos, aceptables, acordes a lo esperado;;;
bufanda|bu-fan-da|Pieza de tela bastante más larga que ancha, con que se abriga el cuello y a veces la boca;;;
buffalo|buf-fa-lo|Población situada en el estado de Nueva York, cerca de las cataratas del Niágara;;;
bufón|bu-fón|Personaje cómico encargado de divertir a reyes y cortesanos con gestos y chistes;;;
buharda|bu-har-da|Ventana que sobresale verticalmente en el tejado de una casa, para dar luz a los desvanes o salir a los tejados;;;
búho|bú-ho|Ave rapaz nocturna de unos 40 cm de altura, con ojos grandes y colocados en la parte anterior de la cabeza, sobre la cual tiene unas plumas alzadas que figuran orejas;;;
buhonero|bu-ho-ne-ro|Vendedor ambulante de baratijas;;;
buhonero|bu-ho-ne-ro|Vendedor ambulante de baratijas de poca monta;;;
buitre|bui-tre|Ave rapaz accipitriforme, de cuerpo grueso, que vive en sociedad y se alimenta principalmente de animales muertos;;;
buitre|bui-tre|Ave rapaz que vive en sociedad y se alimenta principalmente de animales muertos;;;
buitrera|bui-tre-ra|Lugar en el que crían los buitres en colonias;;;
buitrero|bui-tre-ro|Cazador de buitres;;;
buitrón|bui-trón|Agujero que los ladrones hacen en techos o paredes para robar;;;
bujia|bu-ji-a|En los motores de explosión, el dispositivo donde salta la chispa eléctrica que inflama la mezcla explosiva comprimida;;;
bujía|bu-jí-a|En los motores de explosión, el dispositivo donde salta la chispa eléctrica que inflama la mezcla explosiva comprimida;;;
buldócer|bul-dó-cer|Máquina automóvil de gran potencia, provista de una pieza delantera móvil, de acero, que le permite abrirse camino removiendo obstáculos;;;
bulerías|bu-le-rí-as|Modalidad de baile flamenco en compás de tres tiempos, de movimiento vivo, acompañado de palmas;;;
bulevar|bu-le-var|Paseo público con andén central;;;
bulgaria|bul-ga-ria|País soberano miembro de la Unión Europea situado al sur del continente, capital: Sofía;;;
Bulgaria|bul-ga-ria|País soberano miembro de la Unión Europea situado al sur del continente, capital: Sofía;;;
bulímico|bu-lí-mi-co|Que padece bulimia;;;
bulla|bu-lla|Griterío o ruido de personas;;;
bullicio|bu-lli-cio|Ruido, alboroto, tumulto;;;
bululú|bu-lu-lú|Cómico que representaba él solo una obra, fingiendo la voz de cada personaje;;;
buque|bu-que|Barco con cubierta, adecuado para navegaciones de importancia;;;
burbuja|bur-bu-ja|Glóbulo de aire u otro gas que se forma en el interior de un líquido;;;
burbujear|bur-bu-je-ar|Hacer burbujas;;;
burdegano|bur-de-ga-no|Hijo de caballo y burra;;;
burdégano|bur-dé-ga-no|Hijo de caballo y burra;;;
burdeos|bur-de-os|Ciudad del suroeste de Francia, capital del departamento de Gironde;;;
burgos|bur-gos|Ciudad del norte de España, capital de la provincia homónima, en la comunidad autónoma de Castilla y León, junto al río Arlanzón;;;
Burgos|bur-gos|Ciudad del norte de España, capital de la provincia homónima, en la comunidad autónoma de Castilla y León, junto al río Arlanzón;;;
burgués|bur-gués|Ciudadano de la clase media acomodada u opulenta;;;
burguesía|bur-gue-sí-a|Cuerpo o conjunto de burgueses o ciudadanos de la clase media acomodada;;;
burilar|bu-ri-lar|Grabar figuras o adornos en los metales con el buril;;;
burlesco|bur-les-co|Fam. Festivo, jocoso, que implica burla o chanza;;;
burlete|bur-le-te|Tira de distintos materiales que se pone al canto de las hojas de puertas y ventanas, para que no entre aire en las habitaciones;;;
burlete|bur-le-te|Tira de distintos materiales que se pone al canto de las hojas de puertas y ventanas, para que una vez cerradas no entre aire en las habitaciones;;;
burócrata|bu-ró-cra-ta|Persona que pertenece a la burocracia;;;
burrero|bu-rre-ro|Argent. Fam. Aficionado a las carreras hípicas;;;
bursátil|bur-sá-til|Relativo a la bolsa, a las operaciones que en ella se hacen y a los valores cotizables;;;
burujón|bu-ru-jón|Chichón, bulto que se forma en la cabeza a raíz de un golpe;;;
buscapié|bus-ca-pié|Comentario deslizado en una conversación para averiguar disimuladamente algo;;;
buscapiés|bus-ca-piés|Cohete sin varilla que, encendido, corre por el suelo;;;
buscavida|bus-ca-vi-da|Persona diligente en buscarse por cualquier medio lícito el modo de vivir;;;
búsqueda|bús-que-da|Investigación, acción de buscar;;;
busto|bus-to|Escultura o pintura de la cabeza y parte superior del tórax;;;
butano|bu-ta-no|Gas incoloro y estable que se utiliza como combustible doméstico e industrial;;;
butifarra|bu-ti-fa-rra|Embutido, generalmente de carne de cerdo, que se hace especialmente en Cataluña, Baleares y Valencia;;;
buzaque|bu-za-que|Embriagado, borracho, beodo;;;
buzarda|bu-zar-da|Pieza curva con que se liga y fortalece la proa de la embarcación;;;
buzios|bu-zios|Uno de los más conocidos balnearios de Brasil, localizado a 170 km de Rio de Janeiro;;;
buzios|bu-zios|Uno de los más conocidos balnearios de Brasil, localizado a 170km de Rio de Janeiro;;;
buzón|bu-zón|Abertura por donde se echan las cartas para el correo;;;
byron|by-ron|(Lord ~) Poeta inglés, uno de los escritores más versátiles e importantes del Romanticismo, (1788-1824);;;
byron|by-ron|(Lord) Poeta inglés, uno de los escritores más versátiles e importantes del Romanticismo, (1788-1824);;;
byroniano|by-ro-nia-no|Propio del poeta inglés Byron (1788-1824), o semejante a su inspiración, estilo, etc.;;;
byronismo|by-ro-nis-mo|Estilo y conjunto de estudios del poeta romántico inglés Lord Byron (1788-1824);;;
caacupé|ca-a-cu-pé|Capital del departamento paraguayo de Cordillera;;;
caacupé|ca-a-cu-péCapital del departamento paraguayo de Cordillera;;;
cábala|cá-ba-la|Cálculo supersticioso para adivinar algo;;;
cabalgar|ca-bal-gar|Montar a caballo;;;
cabalgar|ca-bal-garMontar a caballo;;;
cabalgata|ca-bal-ga-ta|Reunión de personas que cabalgan juntas;;;
caballa|ca-ba-lla|Pez teleósteo, de tres a cuatro decímetros de largo, de color azul y verde con rayas negras por el lomo;;;
caballada|ca-ba-lla-da|Manada de caballos o de caballos y yeguas;;;
caballero|ca-ba-lle-ro|Señor, hombre distinguido y educado;;;
caballete|ca-ba-lle-te|Parte más elevada de un tejado que lo divide en dos vertientes;;;
caballo|ca-ba-llo|En el juego del ajedrez, pieza que, en número de dos por bando, se mueve en forma de ele, pudiendo saltar sobre las demás;;;
caballuno|ca-ba-llu-no|Perteneciente o relativo al caballo;;;
cabañero|ca-ba-ñe-ro|Argent. Propietario de una cabaña o encargado de ella;;;
cabaret|ca-ba-ret|(Pal. franc.) Sala de fiestas;;;
cabeceada|ca-be-ce-a-da|Golpe que se da con la cabeza o se recibe en ella;;;
cabecear|ca-be-ce-ar|En el juego del fútbol, dar con la cabeza un golpe a la pelota;;;
cabecear|ca-be-ce-ar|Inclinar la cabeza hacia el pecho una persona, cuando se va durmiendo;;;
cabecera|ca-be-ce-ra|Parte de la cama donde se ponen las almohadas;;;
cabecilla|ca-be-ci-lla|Jefe de rebeldes;;;
cabellera|ca-be-lle-ra|Pelo de la cabeza, especialmente el largo y tendido sobre la espalda;;;
cabello|ca-be-llo|Pelo que nace en la cabeza del hombre, y conjunto de todos ellos;;;
cabelludo|ca-be-llu-do|(Cuero ~) Piel en donde nace el cabello;;;
cabelludo|ca-be-llu-do|(Cuero) Piel en donde nace el cabello;;;
cabestro|ca-bes-tro|Ramal atado a la cabeza de la caballería para llevarla o asegurarla;;;
cabeza|ca-be-za|Parte superior del cuerpo del hombre, separada del tronco por el cuello;;;
cabezada|ca-be-za-da|Correaje que ciñe y sujeta la cabeza de una caballería;;;
cabezal|ca-be-zal|Pieza que sirve para grabar, reproducir o borrar lo grabado en una cinta magnetofónica;;;
cabezazo|ca-be-za-zo|Golpe dado con la cabeza;;;
cabezón|ca-be-zón|De cabeza grande;;;
cabezudo|ca-be-zu-do|Que tiene grande la cabeza;;;
cabida|ca-bi-da|Espacio o capacidad que tiene una cosa para contener otra;;;
cabina|ca-bi-na|Espacio reservado para el piloto en un avión;;;
cabizbajo|ca-biz-ba-jo|Que tiene la cabeza inclinada hacia abajo, por abatimiento, melancolía, etc.;;;
cablero|ca-ble-ro|Buque destinado a tender y reparar los cables submarinos;;;
cablieva|ca-blie-va|Fianza de saneamiento;;;
cabo|ca-bo|Punta de tierra que penetra en el mar;;;
cabotaje|ca-bo-ta-je|Navegación comercial hecha a lo largo de la costa;;;
cabral|ca-bral|(Juan Bautista ~) Sargento que ayudó al Gral. San Martín a sacar la pierna aprisionada bajo su caballo, recibiendo heridas mortales;;;
cabriola|ca-brio-la|Salto que da el caballo, soltando un par de coces mientras se mantiene en el aire;;;
cabriolar|ca-brio-lar|Dar o hacer cabriolas;;;
cabriolé|ca-brio-lé|Automóvil descapotable;;;
cabronada|ca-bro-na-da|Mala pasada, acción malintencionada o indigna contra otro;;;
cabuchón|ca-bu-chón|Piedra preciosa pulimentada y no tallada, de forma convexa;;;
cabulear|ca-bu-le-ar|Argent. Armar cábulas, ardides;;;
caburé|ca-bu-ré|Argent., Parag. Ave de rapiña, menor que el puño que aturde con su chillido a los pájaros para que no huyan al acercárseles para devorarlos;;;
caburé|ca-bu-ré|Argent., Parag. Ave de rapiña, menor que el puño que aturde con su chillido a los pájaros para que no huyen al acercárseles para devorarlos;;;
cabuyera|ca-bu-ye-ra|Conjunto de cuerdas que sostienen la hamaca;;;
cabuyería|ca-bu-ye-rí-a|Mar. Conjunto de cabos menudos;;;
cacarear|ca-ca-re-ar|Dar voces repetidas el gallo o la gallina;;;
cacareo|ca-ca-re-o|Voz del gallo o la gallina;;;
cacareo|ca-ca-re-oVoz del gallo o la gallina;;;
cacatúa|ca-ca-tú-a|Ave psitaciforme de Oceanía con el plumaje de vistosos colores;;;
cacerola|ca-ce-ro-la|Vasija de metal con asas, para guisar;;;
cachafaz|ca-cha-faz|Argent., Chile. Pícaro, sinvergüenza;;;
cachagua|ca-cha-gua|Uno de los dos balnearios más importantes de la provincia chilena de Petorca, el otro es Zapallar;;;
Cachagua|ca-cha-gua|Uno de los dos balnearios más importantes de la provincia chilena de Petorca, el otro es Zapallar;;;
cachalote|ca-cha-lo-te|La ballena más grande dentro del grupo de los cetáceos con dientes;;;
cacharpas|ca-char-pas|Am. Mer. Trebejos, trastos de poco valor;;;
cacharro|ca-cha-rro|Desp. Máquina, automóvil, etc., viejo o que funciona mal;;;
cachaza|ca-cha-za|Aguardiente de melaza;;;
cachear|ca-che-ar|Registrar a gente sospechosa para quitarle las armas que pueda llevar ocultas;;;
Cachear|ca-che-ar|Registrar a gente sospechosa para quitarle las armas que pueda llevar ocultas;;;
cachemir|ca-che-mir|Cierto tejido de lana de cabra muy fino;;;
cachería|ca-che-rí-a|Argent. Desarreglo, falta de gusto en el vestir;;;
cachetada|ca-che-ta-da|Bofetada, manotada dada en el carrillo;;;
cachete|ca-che-te|Carrillo, especialmente el abultado;;;
cacheuta|ca-cheu-ta|Localidad del Departamento Luján de Cuyo, en la provincia de Mendoza, famosa por sus aguas termales;;;
Cacheuta|ca-cheu-ta|Localidad del Departamento Luján de Cuyo, en la provincia de Mendoza, famosa por sus aguas termales;;;
cachirulo|ca-chi-ru-lo|Adorno que las mujeres usaban en la cabeza a fines del siglo XVIII;;;
cachiyuyo|ca-chi-yu-yo|Argent. Arbusto útil como forraje y cuyas cenizas, abundantes en sosa, sirven para fabricar jabón;;;
cachorro|ca-cho-rro|Perro de poco tiempo;;;
cachupín|ca-chu-pín|Amér. Central, Méx. Mote aplicado al español que se establece en la América Hispana;;;
cacicazgo|ca-ci-caz-go|Fam. Autoridad o poder del cacique;;;
cacillo|ca-ci-llo|Cazo pequeño;;;
caciquear|ca-ci-que-ar|Mandar como un cacique;;;
cacique|ca-ci-que|Jefe en algunas tribus de indios de la América Central y América del Sur;;;
caciquil|ca-ci-quil|Perteneciente o relativo al cacique;;;
cacofonía|ca-co-fo-ní-a|Vicio de lenguaje que consiste en el encuentro o repetición desagradable de unos mismos sonidos;;;
cactáceas|cac-tá-ce-as|Bot. Familia de plantas angiospermas dicotiledóneas originarias de América sin hojas, como la chumbera y el cacto;;;
cactáceas|cac-tá-ce-as|Bot. Familia de plantas angiospermas dicotiledóneas originarias de América, sin hojas, como la chumbera y el cacto;;;
cactus|cac-tus|Planta cactácea de tallo suculento y hojas convertidas en espinas, típico de las regiones tropicales;;;
cadalso|ca-dal-so|Tablado erigido para patíbulo;;;
cadaqués|ca-da-qués|Puerto de pescadores español, cuyas bellezas naturales lo han convertido, desde el siglo XIX, en refugio de artistas como Picasso, Buñuel, Dalí, etc.;;;
cadáver|ca-dá-ver|Cuerpo muerto;;;
cadena|ca-de-na|Conjunto de muchos eslabones enlazados entre sí;;;
cadena|ca-de-naConjunto de muchos eslabones enlazados entre sí;;;
cadencia|ca-den-cia|Repetición regular de sonidos o movimientos;;;
cadeneta|ca-de-ne-ta|Labor en figura de cadenilla;;;
cadeneta|ca-de-ne-taLabor en figura de cadenilla;;;
cadenzas|ca-den-zas|Pasajes solistas de carácter virtuoso, desarrollados como una improvisación, que suelen insertarse cerca del final de una composición o sección musical;;;
cadera|ca-de-ra|Región saliente formada a ambos lados del cuerpo por los huesos superiores de la pelvis;;;
cadereta|ca-de-re-ta|Mús. Órgano pequeño con dos teclados;;;
caderudo|ca-de-ru-do|Que tiene gruesas caderas;;;
cadete|ca-de-te|Alumno de una academia militar;;;
cadíes|ca-dí-es|Entre los turcos y moros, jueces que entienden en las causas civiles;;;
cadillar|ca-di-llar|Terreno en que se crían muchos cadillos;;;
caducar|ca-du-car|Extinguirse un derecho, un plazo, un recurso;;;
caduceo|ca-du-ce-o|Vara lisa, con dos alas a un extremo, rodeada de dos culebras, atributo de Mercurio, usado hoy como símbolo de la medicina y el comercio;;;
caducidad|ca-du-ci-dad|Calidad de caduco;;;
caduco|ca-du-co|Decrépito, muy anciano;;;
caduquez|ca-du-quez|Calidad de caduco, caducidad;;;
cafeína|ca-fe-í-na|Alcaloide, usado en medicina, que se encuentra en el café, el té, etc.;;;
cafetal|ca-fe-tal|Terreno poblado de cafetos;;;
cafetera|ca-fe-te-ra|Vasija para hacer o servir café;;;
cafeteria|ca-fe-te-ri-a|Establecimiento donde se sirve café y otros artículos de comer y beber;;;
cafetería|ca-fe-te-rí-a|Establecimiento donde se sirve café y otros artículos de comer y beber;;;
cafetero|ca-fe-te-ro|Persona que tiene por oficio vender café en un lugar público;;;
cafetín|ca-fe-tín|Establecimiento pequeño donde se sirve café;;;
caída|ca-í-da|Descenso, declinación, decadencia;;;
caimiento|cai-mien-to|Descenso, declinación, decadencia.// Fig. Desfallecimiento;;;
caín|ca-ín|Hijo mayor de Adán y Eva, y hermano de Abel;;;
cairel|cai-rel|Pieza de cristal de distintas formas, para adornar candelabros, arañas, etc.;;;
cajetilla|ca-je-ti-lla|Paquete de tabaco picado o de cigarrillos;;;
cajón|ca-jón|Caja grande, generalmente de madera, y de base rectangular;;;
cajonera|ca-jo-ne-ra|Mueble formado exclusivamente por cajones;;;
cajonera|ca-jo-ne-ra|Mueble formado por una armazón y cajones;;;
cajuela|ca-jue-la|Méx. Maletero del automóvil;;;
calabozo|ca-la-bo-zo|Lugar seguro, generalmente subterráneo, para encerrar presos;;;
calabrés|ca-la-brés|De Calabria, región del sudeste de Italia;;;
calabriar|ca-la-briar|Mezclar, confundir o embrollar las cosas;;;
caladero|ca-la-de-ro|Lugar a propósito para calar las redes de pesca;;;
calado|ca-la-do|Profundidad que alcanza en el agua la parte sumergida de un barco;;;
caladura|ca-la-du-ra|Cala de una fruta;;;
calais|ca-lais|Ciudad del norte de Francia, frente al puerto inglés de Dover;;;
Calais|ca-lais|Ciudad del norte de Francia, frente al puerto inglés de Dover;;;
calamar|ca-la-mar|Molusco cefalópodo decápodo marino, comestible, que segrega un líquido negro llamado tinta;;;
calamar|ca-la-mar|Molusco cefalópodo decápodo marino, comestible, que segrega un líquido negro, llamado tinta;;;
calambre|ca-lam-bre|Contracción espasmódica, dolorosa y poco durable de ciertos músculos;;;
calambur|ca-lam-bur|Galic. Equívoco, retruécano, juego de palabras;;;
calambur|ca-lam-burGalic. Equívoco, retruécano, juego de palabras;;;
calamidad|ca-la-mi-dad|Desgracia o infortunio que alcanza a muchas personas;;;
calamita|ca-la-mi-ta|Imán, brújula;;;
calavera|ca-la-ve-ra|Parte del esqueleto que corresponde a la cabeza;;;
calcáneo|cal-cá-ne-o|Hueso del tarso, en la parte posterior del pie, donde forma el talón;;;
calcañar|cal-ca-ñar|Parte posterior de la planta del pie;;;
calcáreo|cal-cá-re-o|Que tiene cal;;;
calcetín|cal-ce-tín|Media que sólo llega a la mitad de la pantorrilla;;;
calchaquí|cal-cha-quí|Pueblo indio que habitaba en la región noroeste argentina;;;
calcífero|cal-cí-fe-ro|Que contiene o lleva cal;;;
calcinar|cal-ci-nar|Quím. Someter al calor una materia para que, descomponiéndose, desprenda toda sustancia volátil;;;
calcio|cal-cio|Elemento químico de color blanco, componente esencial de huesos, dientes, caparazones, etc.;;;
calcio|cal-cio|Elemento químico de color blanco, componente esencial de huesos, dientes, etc.;;;
calcular|cal-cu-lar|Hacer las operaciones necesarias para determinar el valor de una cantidad;;;
calcuta|cal-cu-ta|Ciudad del este de la India, capital del estado de Bengala Occidental, situada a orillas del río Hooghly, cerca del golfo de Bengala;;;
caldas|cal-das|Baños de aguas minerales calientes;;;
caldear|cal-de-ar|Poner el hierro al rojo para labrarlo;;;
caldén|cal-dén|Argent. Árbol leguminoso, que da madera útil para la construcción;;;
caldense|cal-den-se|De Caldas, departamento del oeste de Colombia;;;
caldera|cal-de-ra|Recipiente metálico de paredes resistentes donde se hace hervir el agua, cuyo vapor se usa como fuerza motriz de una máquina;;;
calderada|cal-de-ra-da|Cantidad que se considera exagerada de alguna sustancia, especialmente de comida;;;
calderón|cal-de-rón|Mús. Signo que representa la suspensión del compás;;;
caldo|cal-do|Líquido que resulta de cocer en agua la vianda;;;
caldoso|cal-do-so|Que tiene mucho caldo;;;
caledonia|ca-le-do-nia|Antigua región del norte de la isla de Gran Bretaña;;;
calefón|ca-le-fón|Calentador de agua doméstico;;;
calendar|ca-len-dar|Poner en un escrito la fecha o data del día, mes y año;;;
caléndula|ca-lén-du-la|Planta compuesta, de flores terminales, cuyo cocimiento se ha usado como antiespasmódico, también llamada maravilla;;;
caléndula|ca-lén-du-la|Planta compuesta, de flores terminales, cuyo cocimiento se ha usado como antiespasmódico, también llamada ¨maravilla¨;;;
calentar|ca-len-tar|Hacer subir la temperatura de un cuerpo;;;
calentito|ca-len-ti-to|Fig., fam. Recién hecho, nuevo, tibio;;;
calera|ca-le-ra|Cantera que da la piedra caliza;;;
calesa|ca-le-sa|Coche de dos o cuatro ruedas con la caja abierta por delante y capota de vaqueta;;;
calesero|ca-le-se-ro|El que tiene por oficio conducir calesas;;;
calesita|ca-le-si-ta|Plataforma giratoria sobre la que se instalan caballitos, coches, etc., y sirve de diversión;;;
calesita|ca-le-si-ta|Plataforma giratoria sobre la que se instalan caballitos, coches, etc., y sirve de diversión infantil;;;
caletre|ca-le-tre|Fam. Tino, discernimiento, capacidad;;;
calibrar|ca-li-brar|Graduar exactamente un instrumento medidor;;;
calibre|ca-li-bre|Diámetro interior del cañón de las armas de fuego;;;
calidad|ca-li-dad|Conjunto de cualidades que constituyen la manera de ser de una persona o cosa;;;
califa|ca-li-fa|Título de los príncipes sarracenos que, como sucesores de Mahoma, ejercieron potestad religiosa y civil en Asia, África y España;;;
califato|ca-li-fa-to|Territorio bajo jurisdicción del califa;;;
calificar|ca-li-fi-car|Determinar o expresar las cualidades de una persona o cosa;;;
calígrafo|ca-lí-gra-fo|Persona que escribe a mano con letra excelente;;;
calígula|ca-lí-gu-la|Emperador romano del 37 al 41 d.C., famoso por su crueldad y por su extravagancia (12-41 d.C.);;;
Calígula|ca-lí-gu-la|Emperador romano del 37 al 41 d.C., famoso por su crueldad y por su extravagancia (12-41 d.C.);;;
calilegua|ca-li-le-gua|Ciudad y municipio del sudeste de la provincia argentina de Jujuy, en el departamento Ledesma;;;
Calilegua|ca-li-le-gua|Ciudad y municipio del sudeste de la provincia argentina de Jujuy, en el departamento Ledesma;;;
calima|ca-li-ma|Niebla muy tenue que enturbia ligeramente el aire;;;
calíope|ca-lí-o-pe|Mit. Musa de la poesía épica y de la elocuencia;;;
calipso|ca-lip-so|Forma de música folclórica desarrollada en la isla de Trinidad y originariamente cantada en los carnavales;;;
calipso|ca-lip-so|Forma de música folclórica desarrollada en la isla Trinidad, de las Antillas Menores, originariamente cantada en los carnavales;;;
calipso|ca-lip-so|Ninfa, reina de la isla de Origia, que retuvo siete años a Ulises, según la Odisea;;;
cáliz|cá-liz|Vaso sagrado de oro o plata en que el sacerdote consagra el vino en la santa misa;;;
callado|ca-lla-do|Silencioso, reservado, taciturno;;;
callampa|ca-llam-pa|Amér. Merid. Seta, hongo;;;
callampas|ca-llam-pas|Amér. Merid. Setas, hongos.// Chile. Chabolas, villas miseria;;;
calle|ca-lle|Camino entre casas o paredes por el que se transita en poblado;;;
callejear|ca-lle-je-ar|Andar frecuentemente de calle en calle sin necesidad;;;
callejear|ca-lle-je-arAndar frecuentemente de calle en calle sin necesidad;;;
callejero|ca-lle-je-ro|Que gusta de callejear;;;
callejón|ca-lle-jón|Paso estrecho y largo entre paredes, casas o elevaciones del terreno;;;
calma|cal-ma|Estado de la atmósfera cuando no hay viento.// Fig. Paz, tranquilidad;;;
calmante|cal-man-te|Medicamento sedante y narcótico;;;
calmar|cal-mar|Mitigar, moderar, suavizar;;;
calor|ca-lor|Elevación de la temperatura ambiente;;;
caloría|ca-lo-rí-a|Unidad de medida térmica;;;
calotear|ca-lo-te-ar|Argent. Dar calote, estafar a alguien;;;
calumnia|ca-lum-nia|Acusación falsa, hecha maliciosamente para causar daño;;;
calumniar|ca-lum-niar|Acusar falsamente para causar daño;;;
caluroso|ca-lu-ro-so|Que tiene o causa calor;;;
caluroso|ca-lu-ro-soQue tiene o causa calor;;;
calvario|cal-va-rio|Lugar donde Cristo fue crucificado;;;
calvicie|cal-vi-cie|Falta de pelo en la cabeza;;;
calvo|cal-vo|Que ha perdido el pelo de la cabeza;;;
calvo|cal-vo|Que ha perdido todo el pelo de la cabeza;;;
calzada|cal-za-da|Parte de una calle comprendida entre las dos aceras;;;
calzado|cal-za-do|Zapato, zapatilla, alpargata, etc., que sirve para cubrir y resguardar el pie;;;
calzador|cal-za-dor|Utensilio de forma acanalada para ayudar a ponerse el zapato;;;
calzar|cal-zar|Poner a un vehículo una cuña u otro obstáculo en la rueda, para inmovilizarlo;;;
camada|ca-ma-da|Todos los hijos que paren de una vez ciertos animales;;;
camafeo|ca-ma-fe-o|Figura tallada de relieve en ónice u otra piedra preciosa;;;
camafeo|ca-ma-fe-oFigura tallada de relieve en ónice u otra piedra preciosa;;;
camaleón|ca-ma-le-ón|Reptil saurio que cambia la coloración de su piel;;;
camalote|ca-ma-lo-te|Amér. Planta acuática, de hoja flotante en forma de plato;;;
camama|ca-ma-ma|Vulg. Embuste, falsedad, burla;;;
camambú|ca-mam-bú|Amér. Planta silvestre de flor amarilla y una frutilla como ampolla, blanca y muy dulce;;;
cámara|cá-ma-ra|Máquina fotográfica;;;
camarada|ca-ma-ra-da|Compañero, persona que mantiene una relación afectiva con otra;;;
camarera|ca-ma-re-ra|Criada distinguida que sirve en las fondas, cafés, barcos de pasajeros, etc.;;;
camarero|ca-ma-re-ro|Mozo de café;;;
camarilla|ca-ma-ri-lla|Conjunto de personas que influyen subrepticiamente en los negocios del Estado;;;
camarín|ca-ma-rín|Cuarto donde los actores se visten para salir a escena;;;
camarista|ca-ma-ris-ta|Miembro de las Cámaras Judiciales;;;
camarote|ca-ma-ro-te|Compartimiento reducido que hay en los barcos para poner las camas o literas;;;
camarotes|ca-ma-ro-tes|Dormitorios en los barcos;;;
camastro|ca-mas-tro|Lecho pobre y sin aliño;;;
cambado|cam-ba-do|Amér. De piernas torcidas;;;
cambiante|cam-bian-te|Que cambia fácilmente o habitualmente;;;
cambiar|cam-biar|Dar, tomar o poner una cosa por otra;;;
cambiario|cam-bia-rio|Relativo al negocio del cambio o a la letra de cambio;;;
cambiazo|cam-bia-zo|Acción de cambiar fraudulentamente una cosa por otra;;;
cambio|cam-bio|Permuta, trueque;;;
cambista|cam-bis-ta|Persona que cambia moneda;;;
Camboya|cam-bo-ya|Uno de los cuarenta y nueve países que componen el continente asiático. Su capital y ciudad más poblada es Nom Pen;;;
camboyano|cam-bo-ya-no|De Camboya;;;
cambrayón|cam-bra-yón|Lienzo parecido al cambray, pero menos fino;;;
cambriano|cam-bria-no|Cámbrico, primero de los seis periodos de la Era Primaria o Paleozoica;;;
cámbrico|cám-bri-co|Primero de los períodos geológicos en que se divide la era primaria, y terreno a él perteneciente;;;
